F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.88,0.3,2.8686674,3.3666045,1.0,0.5299117671643395,0.0003593471628808282,2.8305929027481652e-09,True
0.88,0.3,2.8686674,3.5269190000000004,1.0,0.40101821335269133,0.0001312802492054565,1.083306944149598e-08,True
0.88,0.3,2.9769190000000005,2.8856610000000003,1.0,0.9998993598390272,0.3657615337842159,1.7432708589769291e-15,True
0.88,0.3,2.9769190000000005,3.0459755000000004,1.0,0.9996816607531716,0.24041783793985394,4.194642419751831e-08,True
0.88,0.3,2.9769190000000005,3.20629,1.0,0.998838236753557,0.05363345557946679,7.114471363924036e-09,True
0.88,0.3,2.9769190000000005,3.3666045,1.0,0.6766351356363767,0.0006630414804599093,1.2883363220666127e-15,True
0.88,0.3,2.9769190000000005,3.5269190000000004,1.0,0.4798578233953972,0.00023693905760930698,1.2272755256074914e-08,True
0.88,0.38,2.435661,2.8856610000000003,1.0,0.7419101679968239,0.0012568786548548705,5.7822098565694505e-08,True
0.88,0.38,2.435661,3.0459755000000004,1.0,0.5477597777517716,0.00034988320628792397,5.445119745909427e-08,True
0.88,0.38,2.435661,3.20629,1.0,0.43391532708969316,0.00011226501125874151,5.666342166901479e-09,True
0.88,0.38,2.435661,3.3666045,1.0,0.359207612655353,3.9211075467800304e-05,2.727565426240028e-09,True
0.88,0.38,2.435661,3.5269190000000004,1.0,0.3064381478851123,1.4579966335156153e-05,2.9066405239117894e-08,True
0.88,0.38,2.5439126,2.8856610000000003,1.0,0.972710010816283,0.003674756668800134,2.6402512736943395e-08,True
0.88,0.38,2.5439126,3.0459755000000004,1.0,0.6655126303616095,0.0007165018301346495,2.17779035694197e-08,True
0.88,0.38,2.5439126,3.20629,1.0,0.5047754046345404,0.00022154540801571328,1.2434452877448336e-08,True
0.88,0.38,2.5439126,3.3666045,1.0,0.40646519774054307,7.613995658753336e-05,5.3475544594310315e-09,True
0.88,0.38,2.5439126,3.5269190000000004,1.0,0.3401839334813379,2.807777447157068e-05,1.593871829621645e-08,True
0.88,0.38,2.6521642000000005,2.8856610000000003,1.0,0.9989303913315823,0.1564616388616919,2.7243061291064977e-15,True
0.88,0.38,2.6521642000000005,3.0459755000000004,1.0,0.8472578791806386,0.0015226046278642585,2.6828317715035294e-15,True
0.88,0.38,2.6521642000000005,3.20629,1.0,0.603216776483586,0.0004357520629429268,1.049212498131938e-08,True
0.88,0.38,2.6521642000000005,3.3666045,1.0,0.46802482192751976,0.00014608043241529824,7.109158752319471e-08,True
0.88,0.38,2.6521642000000005,3.5269190000000004,1.0,0.38227824628463963,5.323277700832532e-05,3.934663938041029e-09,True
0.88,0.38,2.7604158,2.8856610000000003,1.0,0.9995862328590084,0.27718488487695214,2.6464866152402404e-15,True
0.88,0.38,2.7604158,3.0459755000000004,1.0,0.9984972490264928,0.08288373094557834,1.9541235660615853e-09,True
0.88,0.38,2.7604158,3.20629,1.0,0.749143683349071,0.0008664758042001938,1.7763568394002505e-15,True
